Species	Trait
Absrep1	0
Acain1	1
Aciri1_iso	2
Acrchr1	0
Altalt1	0
Amamu1	0
Amath1	0
Ambph1	1
Amore1	0
Anasp1	0
Antlo1	0
Aphpse1	0
Armcep1	0
Armga1	0
Armost1	0
Armosto1	0
Artbe1	0
Artol1	0
Ascim1	0
Ascra1	0
Ascru1	1
Ascsa1	0
Aspbr1	0
Aspcl1	0
Aspcri1	0
Aspfl1	0
Aspfu_A1163_1	0
Aspfu1	0
Asphet1	0
Aspjap1	0
Aspka1_1	0
Aspni_DSM_1	0
Aspni_NRRL3_1	0
Aspni7	0
Aspnid1	0
Aspte1	0
Asptu1	0
Aurde3_1	0
Aurpu_var_mel1	1
Aurpu_var_pul1	1
Aurpu_var_sub1	1
Babin1	1
Basme2finSC	0
Bauco1	2
Beaba1	0
Bjead1_1	0
Blade1	1
Blugra1	0
BlugrR1_1	0
Botbo1	0
Botci1	0
Botdo1_1	0
Bysni1	0
Byssp1	0
Cadsp1	0
Calco1	0
Calvi1	0
Canalb1	1
Canbo1	1
Canca1	1
Canort	1
Canpar	1
Canta1	1
Cantr	1
Capcor1	1
Capep1	1
Capse1	1
Catan2	0
Caupr1	0
Cenge3	0
Cersp1	1
Chove1	0
Citma1	1
Claba1	1
Claca1	1
Clafu1	0
Clagr3	0
Claim1	1
Clalu1_2	1
Clasph1	2
Cligib1	0
Cloaq1	0
Cocca1	0
CocheC5_3	0
Cocim1	1
Coclu2	0
Cocsa1	0
Coere1	0
Colgr1	0
Colhig2	0
Color1	0
Colsa1	0
Colto1	0
Conap1	0
Conco1	0
Conlig1	0
Conol1	0
Conpu1	0
Copci_AmutBmut1	0
Copmar1	0
Copmic2	0
Corca1	0
Cormi1	0
Croqu1	0
Crula1	0
Cryne_JEC21_1	1
Cybja1	1
Cylto1	0
Cypeu1	1
Dacsp1	0
Daequ1	0
DalEC12_1	0
Debha1	1
Dekbr2	1
Denbi1	0
Diaam1	0
Dicsq1	0
DimcrSC1	0
Dipse1	0
Dotse1	0
Enccu1	0
Enche1	0
Encin1	0
Encro1	0
EndpusZ1	2
Endsp1	0
Entbi1	0
Erynec1	0
Eurhe1	0
Eutla1	0
Exigl1	0
Exoaq1	1
Exode1	1
Exool1	1
Exosi1	1
Exosp1	1
Fibra1	0
Fibsp1	0
Fishe1	0
Fomme1	0
Fompi3	0
Fonmo1	1
Fonmu1	1
Fonpe1	1
Fusfu1	0
Fusgr1	0
Fusox2	0
FusoxT415	0
Fusps1	0
Fusve2	0
Gaegr1	0
Galma1	0
Ganpr1	0
Gansp1	0
Gaumor1_1	0
Geatri1	0
Geoca	1
Geocar1	0
Gigro1	0
Glalo1	0
Glost2	0
Glotr1_1	0
Grocl1	0
Gymlu1	0
Hanpo2	1
Hanva1_1	1
Hebcy2	0
Helsul1	0
Hesve2finisherSC	0
Hetan2	0
Hisca1	1
Horwer1	1
Hydpi2	0
Hypbu1	1
HypCI4A_1	0
Hypsu1	0
Hyspu1_1	0
Hyssto1	0
Jaaar1	0
Jamsp1	1
Jimfl_AD_1	0
Jimfl_GMNB39_1	0
Jimlac1	0
Kazaf1	1
Klula1	1
Kocim1	1
Kurca1	1
Lacam2	0
Lacbi2	0
Laesu1	0
Lentinedodes1	0
Lepmu1	0
Lepnud1	0
Leppa1	0
Leucr1	1
Leugo1_1	0
Liccor1	0
Linpe1	0
Lipst1_1	1
Lobpul1	0
Lobtra1	0
Lodelo1	1
Macpha1	0
Magcap	1
Maggr1	0
Magins	1
Malsy1_1	1
Marbr1	0
Meimi1	1
Melbi2	0
Melbro1	0
Melli1	0
Melva1	0
Metac1	1
Metan	1
Metbi1	1
Metro1	1
Meygui1	1
Micbo1	0
Micca1	0
Micld1	1
Mixos1	1
Moeaph1	1
Monha1	0
Monpe1_1	0
Morel2	0
Morimp1	0
Mucci2	1
Muccir1_3	1
Mutel1	0
Mycgr3	1
Nadfu1	1
Nakbac1	1
Nakdel1	1
Nakwi1	1
Nempa1	0
Neodi1	0
Neofi1	0
Neoirr1	2
Neole1	0
Neopa1	0
Neosp1	0
Neucr_trp3	0
Neucr2	0
Neucr4830_1	0
Nosce1	0
Obbri1	0
Oidma1	0
Ompol1	0
